latitude,longitude
40.00694,-105.26639
41.31423,-105.56432
35.90504,-79.04775
39.65369,-79.95745
41.4873,-71.53446
39.94934,-75.18964
42.38694,-72.52991
41.82176,-72.24278
43.13827,-70.93238
44.97101,-93.23144
44.89914,-68.66637
44.47374,-73.19415
40.09912,-88.23852
38.99041,-76.94386
33.99288,-81.02675
33.94043,-83.37305
33.209438,-87.541493
39.323,-82.10268
43.08027,-89.43096
38.04106,-78.5055
42.29421,-83.71004
39.18024,-86.50935
40.90988,-73.12155
40.74213,-74.17903
39.68103,-75.75402
38.95349,-95.26309
40.82068,-96.70048
38.93641,-92.3297
41.66831,-91.57953
34.36461,-89.53963
30.21929,-92.04138
30.28522,-97.73389
46.85461,-113.96552
34.07088,-118.44685
39.54427,-119.81631
44.04455,-123.07174
47.65435,-122.30806
46.7238,-117.02044
40.76281,-111.83687
35.08663,-106.62021
47.92654,-97.07212
32.23564,-110.95174
35.95164,-83.93088
38.02704,-84.50484
42.79137,-96.92542
35.19599,-97.44571
36.068681,-94.176012
29.63288,-82.34901
